date,CALL,freq
"October 11, 2014",W3AYT,7.155
"October 11, 2014",W3DUG,7.155
"October 11, 2014",W3DZH,7.26
"October 11, 2014",W3FCT,7.26
"October 11, 2014",W3GY,7.26
"October 11, 2014",W3HKK,7.155
"October 11, 2014",W3HZL,7.155
"October 11, 2014",W3ITH,7.15
"October 11, 2014",W3KWH,7.155
"October 11, 2014",W3QN,7.15
"October 11, 2014",W3RAL,7.15
"October 11, 2014",W3SGJ,7.155
"October 11, 2014",W3SVJ,7.155
"October 11, 2014",W3TDF,7.26
"October 11, 2014",W3TWB,7.26
"October 11, 2014",W3UC,7.26
"October 11, 2014",W3VI,7.155
"October 11, 2014",W3YA,7.155
"October 11, 2014",W3YJ,7.155
"October 11, 2014",W4JAM,7.15
"October 11, 2014",W8BZN,7.26
"October 11, 2014",W8CTC,7.15
"October 11, 2014",WA0YAS,7.15
"October 11, 2014",WA2WDT,7.155
"October 11, 2014",WA3ELQ,7.26
"October 11, 2014",WA3GFM,7.155
"October 11, 2014",WA3IEM,7.155
"October 11, 2014",WA3KFT,7.155
"October 11, 2014",WA3VXJ,7.155
"October 11, 2014",WA3ZMH,7.26
"October 11, 2014",WA8KIW,7.15
"October 11, 2014",WA8KIW,7.26
"October 11, 2014",WA9TGD/1,7.151
"October 11, 2014",WB2P,7.26
"October 11, 2014",WB3EWL,7.26
"October 11, 2014",WB3IZF,7.155
"October 11, 2014",WB9SFG,14.25
"October 11, 2014",WD3D,7.155
"October 11, 2014",WE3U,7.155
"October 11, 2014",WF2V,7.15
"October 11, 2014",WN3I,7.155
"October 11, 2014",WO0DS,7.26
"October 11, 2014",WS3C,7.151
"October 11, 2014",WX3E,7.26
"October 12, 2014",K8GQ,7.146
"October 12, 2014",N3OW,7.27
"October 12, 2014",W3DUG,7.151
"October 12, 2014",W3ON,7.146
"October 12, 2014",WA3KVN,7.151
"October 5, 2014",KA3UDR,7
"October 5, 2014",WB4EET,7
"October 5, 2014",K3SCM,7
"October 5, 2014",W8JTW,7
"October 5, 2014",KC3CMF,7
"October 5, 2014",KC3BTB,7
"October 5, 2014",N2GSL,7
"October 5, 2014",NU3K,7
"October 5, 2014",KT4JF,7
"October 5, 2014",N3HIS,7
"October 5, 2014",WB3KUV,7
"October 5, 2014",KA1STU,7
"October 5, 2014",N8YFF,7
"October 5, 2014",WB8EEW,7
"October 5, 2014",N3BKN,7
"October 5, 2014",N9NKF,7
"October 5, 2014",KC2LXD,7
"October 5, 2014",K3RF,7
"October 5, 2014",W8CQL,7
"October 5, 2014",KK4VJK,7
"October 5, 2014",KA3CQM,7
"October 5, 2014",N4IOT,7
"October 5, 2014",K4WNZ,7
"October 5, 2014",WB9JSO,7
"October 5, 2014",KA1SE,7
"October 5, 2014",W8KWG,7
"October 5, 2014",NQ3M,7
"October 5, 2014",K4ELO,7
"October 5, 2014",W3DBP,7
"October 5, 2014",KA3LBP,7
"October 5, 2014",K4GRP,7
"October 5, 2014",WA9KFB,7
"October 5, 2014",K8FZY,7
"October 5, 2014",K3VOX,7
"October 5, 2014",N8ZQW,7
"October 5, 2014",KD8TYQ,7
"October 5, 2014",KC4YGB,7
"October 5, 2014",WB3GBF,7
"October 5, 2014",WS2E,7
"October 5, 2014",VE3PSV,7
"October 5, 2014",W8ERN,7
"October 5, 2014",WA3RSL,7
"October 5, 2014",KC4YEA,7
"October 5, 2014",N9FFB,7
"October 5, 2014",WN4AFP,7
"October 5, 2014",AC8JT,7
"October 5, 2014",N9PWM,7
"October 5, 2014",AI4DB,7
"October 5, 2014",WB3CQD,7
"October 5, 2014",KB1HY,7
"October 5, 2014",N8AD,7
"October 5, 2014",W3BZN,7
"October 5, 2014",KJ4TL,7
"October 5, 2014",N3NSW,7
"October 5, 2014",N3FXW,7
"October 5, 2014",KU3S,7
